Dict
Running CVC: false
DFSPriority
Eager
Size bound: 20
Depth bound: 4
=====

[16:08:20.825047]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V0 -> V0 -> V1, tr: L
[16:08:20.826122]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V0 -> V1 -> V_29_, tr: L
[16:08:20.827130]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V0 -> V1 -> V0, tr: L
[16:08:20.828154]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V0 -> V1 -> V1, tr: L
[16:08:20.829414]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V0 -> V1 -> V2, tr: L
[16:08:20.830316]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V_30_ -> V_31_ -> L, tr: L
[16:08:20.831006]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V0 -> V_31_ -> L, tr: L
[16:08:20.831683]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V0 -> V0 -> L, tr: L
[16:08:20.832502]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V0 -> V1 -> L, tr: L
[16:08:20.833275]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V_32_ -> L -> V_33_, tr: L
[16:08:20.834230]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V0 -> L -> V_33_, tr: L
[16:08:20.834960]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V0 -> L -> V0, tr: L
[16:08:20.835771]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V0 -> L -> V1, tr: L
[16:08:20.836311]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V_34_ -> L -> L, tr: L
[16:08:20.836857]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V0 -> L -> L, tr: L
[16:08:20.837359]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> V_35_ -> V_36_, tr: L
[16:08:20.837908]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> V0 -> V_36_, tr: L
[16:08:20.838528]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> V0 -> V0, tr: L
[16:08:20.839238]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> V0 -> V1, tr: L
[16:08:20.839855]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> V_37_ -> L, tr: L
[16:08:20.840424]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> V0 -> L, tr: L
[16:08:20.840870]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> L -> V_38_, tr: L
[16:08:20.841525]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> L -> V0, tr: L
[16:08:20.842190]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> L -> L, tr: L
[16:08:20.842624]	END Elab search : 65 ms
[16:08:20.843281]	BEG Compile Elab to Concrete
[16:08:21.727883]	END Compile Elab to Concrete : 884 ms
[16:08:21.728459]	BEG Concrete search
[16:08:21.728572]	BEG Depth 2
[16:08:21.728610]	BEG Size 1
[16:08:21.728651]	END Size 1 : 0 ms
[16:08:21.728685]	BEG Size 2
[16:08:21.728720]	END Size 2 : 0 ms
[16:08:21.728762]	BEG Size 3
[16:08:21.728811]	END Size 3 : 0 ms
[16:08:21.728864]	BEG Size 4
[16:08:21.728914]	END Size 4 : 0 ms
[16:08:21.728959]	BEG Size 5
[16:08:21.729007]	END Size 5 : 1 ms
[16:08:21.729062]	BEG Size 6
[16:08:21.729115]	END Size 6 : 0 ms
[16:08:21.729162]	BEG Size 7
[16:08:21.729226]	END Size 7 : 0 ms
[16:08:21.729278]	BEG Size 8
[16:08:21.729344]	END Size 8 : 0 ms
[16:08:21.729396]	BEG Size 9
[16:08:21.729464]	END Size 9 : 0 ms
[16:08:21.729541]	BEG Size 10
[16:08:21.729664]	Exploring 0: L0[], 1: L0[], Ebi: L2[_0_, _1_], Eib: L2[_2_, _3_], Eii: L2[_4_, _5_], put: L2[_6_, _7_] -> V0 -> V1 -> L2[_8_, _9_], tr: L7[]
[16:08:21.732498]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], _1_], Eib: L2[_2_, _3_], Eii: L2[_4_, _5_], put: L2[_6_, _7_] -> V0 -> V1 -> L2[_8_, _9_], tr: L7[]
[16:08:21.733289]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[_2_, _3_], Eii: L2[_4_, _5_], put: L2[_6_, _7_] -> V0 -> V1 -> L2[_8_, _9_], tr: L7[]
[16:08:21.733988]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], _3_], Eii: L2[_4_, _5_], put: L2[_6_, _7_] -> V0 -> V1 -> L2[_8_, _9_], tr: L7[]
[16:08:21.734667]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[_4_, _5_], put: L2[_6_, _7_] -> V0 -> V1 -> L2[_8_, _9_], tr: L7[]
[16:08:21.735277]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], _5_], put: L2[_6_, _7_] -> V0 -> V1 -> L2[_8_, _9_], tr: L7[]
[16:08:21.735832]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[_6_, _7_] -> V0 -> V1 -> L2[_8_, _9_], tr: L7[]
[16:08:21.736606]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], _7_] -> V0 -> V1 -> L2[_8_, _9_], tr: L7[]
[16:08:21.737305]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], L0[]] -> V0 -> V1 -> L2[_8_, _9_], tr: L7[]
[16:08:21.737988]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], L0[]] -> V0 -> V1 -> L2[L0[], _9_], tr: L7[]
[16:08:21.738698]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], L0[]] -> V0 -> V1 -> L2[L0[], L0[]], tr: L7[]
[16:08:21.741531]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], V2] -> V0 -> V1 -> L2[_8_, _9_], tr: L7[]
[16:08:21.742582]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], V2] -> V0 -> V1 -> L2[L0[], _9_], tr: L7[]
[16:08:21.743490]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], V2] -> V0 -> V1 -> L2[L0[], L0[]], tr: L7[]
[16:08:21.745122]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], V2] -> V0 -> V1 -> L2[L0[], L7[]], tr: L7[]
[16:08:21.746579]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], V2] -> V0 -> V1 -> L2[L0[], V0], tr: L7[]
[16:08:21.748487]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], V2] -> V0 -> V1 -> L2[L0[], V1], tr: L7[]
[16:08:21.749541]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], V2] -> V0 -> V1 -> L2[L0[], V2], tr: L7[]
[16:08:21.751072]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], V2] -> V0 -> V1 -> L2[V2, _9_], tr: L7[]
[16:08:21.752006]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], V2] -> V0 -> V1 -> L2[V2, L0[]], tr: L7[]
[16:08:21.753179]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], V2] -> V0 -> V1 -> L2[V2, L7[]], tr: L7[]
[16:08:21.754255]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], V2] -> V0 -> V1 -> L2[V2, V0], tr: L7[]
[16:08:21.755274]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], V2] -> V0 -> V1 -> L2[V2, V1], tr: L7[]
[16:08:21.756294]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[L0[], V2] -> V0 -> V1 -> L2[V2, V2], tr: L7[]
[16:08:21.757479]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[V2, _7_] -> V0 -> V1 -> L2[_8_, _9_], tr: L7[]
[16:08:21.758470]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[V2, L0[]] -> V0 -> V1 -> L2[_8_, _9_], tr: L7[]
[16:08:21.759385]	Exploring 0: L0[], 1: L0[], Ebi: L2[L0[], L0[]], Eib: L2[L0[], L0[]], Eii: L2[L0[], L0[]], put: L2[V2, L0[]] -> V0 -> V1 -> L2[L0[], _9_], tr: L7[]
