dictchain
Running CVC: true
Size bound: 20
Depth bound: 4
Names per round: 5
=====

[23:34:34.684]	BEG Initial search without labels or nullaries
[23:34:34.726]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=V0 -> V0 -> V1}
[23:34:34.726]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=V0 -> V0 -> .L}
[23:34:34.726]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=V0 -> V1 -> _}
[23:34:34.726]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=V0 -> V1 -> V0}
[23:34:34.726]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=V0 -> V1 -> V1}
[23:34:34.726]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=V0 -> V1 -> V2}
[23:34:34.727]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=V0 -> V1 -> .L}
[23:34:34.727]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=V0 -> .L -> _}
[23:34:34.727]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=V0 -> .L -> V0}
[23:34:34.727]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=V0 -> .L -> V1}
[23:34:34.727]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=V0 -> .L -> .L}
[23:34:34.728]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=.L -> _}
[23:34:34.728]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=.L -> _ -> _}
[23:34:34.728]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=.L -> V0 -> _}
[23:34:34.729]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=.L -> V0 -> V0}
[23:34:34.729]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=.L -> V0 -> V1}
[23:34:34.729]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=.L -> V0 -> .L}
[23:34:34.729]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=.L -> .L -> _}
[23:34:34.729]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=.L -> .L -> V0}
[23:34:34.730]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=.L -> .L -> .L}
[23:34:34.730]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=_ -> _}
[23:34:34.730]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=V0 -> _}
[23:34:34.730]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=V0 -> _ -> _}
[23:34:34.730]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=V0 -> V0 -> _}
[23:34:34.730]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=V0 -> V0 -> V0}
[23:34:34.731]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=V0 -> V0 -> V1}
[23:34:34.731]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=V0 -> V0 -> .L}
[23:34:34.731]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=V0 -> V1 -> _}
[23:34:34.731]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=V0 -> V1 -> V0}
[23:34:34.731]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=V0 -> V1 -> V1}
[23:34:34.731]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=V0 -> V1 -> V2}
[23:34:34.732]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=V0 -> V1 -> .L}
[23:34:34.732]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=V0 -> .L -> _}
[23:34:34.732]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=V0 -> .L -> V0}
[23:34:34.732]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=V0 -> .L -> V1}
[23:34:34.732]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=V0 -> .L -> .L}
[23:34:34.732]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=.L -> _}
[23:34:34.733]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=.L -> _ -> _}
[23:34:34.733]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=.L -> V0 -> _}
[23:34:34.733]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=.L -> V0 -> V0}
[23:34:34.733]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=.L -> V0 -> V1}
[23:34:34.733]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=.L -> V0 -> .L}
[23:34:34.733]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=.L -> .L -> _}
[23:34:34.734]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=.L -> .L -> V0}
[23:34:34.734]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V2, min=.L -> .L -> .L}
[23:34:34.734]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=_ -> _}
[23:34:34.734]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=V0 -> _}
[23:34:34.734]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=V0 -> _ -> _}
[23:34:34.735]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=V0 -> V0 -> _}
[23:34:34.735]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=V0 -> V0 -> V0}
[23:34:34.735]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=V0 -> V0 -> V1}
[23:34:34.735]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=V0 -> V0 -> .L}
[23:34:34.735]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=V0 -> V1 -> _}
[23:34:34.735]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=V0 -> V1 -> V0}
[23:34:34.736]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=V0 -> V1 -> V1}
[23:34:34.736]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=V0 -> V1 -> V2}
[23:34:34.736]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=V0 -> V1 -> .L}
[23:34:34.736]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=V0 -> .L -> _}
[23:34:34.736]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=V0 -> .L -> V0}
[23:34:34.736]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=V0 -> .L -> V1}
[23:34:34.737]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=V0 -> .L -> .L}
[23:34:34.737]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=.L -> _}
[23:34:34.737]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=.L -> _ -> _}
[23:34:34.737]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=.L -> V0 -> _}
[23:34:34.737]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=.L -> V0 -> V0}
[23:34:34.737]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=.L -> V0 -> V1}
[23:34:34.737]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=.L -> V0 -> .L}
[23:34:34.738]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=.L -> .L -> _}
[23:34:34.738]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=.L -> .L -> V0}
[23:34:34.738]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> .L, min=.L -> .L -> .L}
[23:34:34.738]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> _, min=_ -> _}
[23:34:34.738]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=_ -> _}
[23:34:34.738]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=V0 -> _}
[23:34:34.739]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=V0 -> _ -> _}
[23:34:34.739]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=V0 -> V0 -> _}
[23:34:34.739]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=V0 -> V0 -> V0}
[23:34:34.739]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=V0 -> V0 -> V1}
[23:34:34.739]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=V0 -> V0 -> .L}
[23:34:34.739]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=V0 -> V1 -> _}
[23:34:34.740]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=V0 -> V1 -> V0}
[23:34:34.740]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=V0 -> V1 -> V1}
[23:34:34.740]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=V0 -> V1 -> V2}
[23:34:34.740]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=V0 -> V1 -> .L}
[23:34:34.740]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=V0 -> .L -> _}
[23:34:34.740]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=V0 -> .L -> V0}
[23:34:34.741]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=V0 -> .L -> V1}
[23:34:34.741]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=V0 -> .L -> .L}
[23:34:34.741]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=.L -> _}
[23:34:34.741]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=.L -> _ -> _}
[23:34:34.741]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=.L -> V0 -> _}
[23:34:34.741]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=.L -> V0 -> V0}
[23:34:34.742]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> .L -> V0, min=.L -> V0 -> V1}
