Cons
Running CVC: false
DFSPriority
Eager
Size bound: 20
Depth bound: 4
=====

[16:06:42.795076]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[L0[]], []b: L1[_2_], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.795425]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[L0[]], []b: L1[L0[]], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.795732]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[L0[]], []b: L1[L0[]], cons: V0 -> L1[L0[]] -> L1[_4_], tr: L6[]
[16:06:42.796124]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[L0[]], []b: L1[L0[]], cons: V0 -> L1[L0[]] -> L1[L0[]], tr: L6[]
[16:06:42.796939]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[L0[]], []b: L1[L6[]], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.797326]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[L6[]], []b: L1[_2_], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.797569]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[L6[]], []b: L1[L0[]], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.797978]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[L6[]], []b: L1[L6[]], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.798436]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[_1_], []b: L1[_2_], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.798835]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[L0[]], []b: L1[_2_], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.799235]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[L0[]], []b: L1[L0[]], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.799838]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[L0[]], []b: L1[L6[]], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.800460]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[L6[]], []b: L1[_2_], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
